Code,Name,Prerequisites
ECON 145, Economics of Ocean Resources (4),ECON 2 or 100A. 
ECON 146, Economic Stabilization (4),ECON 110B. 
ECON 147, Economics of Education (4),ECON 2 or 100A; and ECON 120B or MATH 181B.
ECON 150, Public Economics: Taxation (4),ECON 100C.
ECON 151, Public Economics: Expenditures I (4),ECON 100C.
ECON 152, Public Economics: Expenditures II (4),ECON 100C.
ECON 158, Economic History of the United States I (4),upper-division standing. 
ECON 159, Economic History of the United States II (4),upper-division standing. 
ECON 162, Economics of Mexico (4),ECON 1 and 3.
ECON 164, The Indian Economy (4),ECON 1 and 3.
ECON 164T, Advanced Topics in the Indian Economy (2),department approval required. May be taken concurrently with ECON 164 or after completion of ECON 164.
ECON 165, Middle East Economics (4),ECON 1 and 3.
ECON 165T, Advanced Topics in Middle East Economics (2),department approval required. May be taken concurrently with ECON 165 or after completion of ECON 165.
ECON 167, Economics of China (4),ECON 1 and 3.
ECON 168, Economics of Modern Israel (4),ECON 1 and 3.
ECON 169, Economics of Korea (4),ECON 3 and 100A.
ECON 171, Decisions Under Uncertainty (4),ECON 100A and ECON 120A or ECE 109 or MATH 180A or MATH 183 or MATH 186. 
ECON 172A, Operations Research A (4),ECON 100A; and ECON 120A or ECE 109 or MATH 180A or MATH 183 or MATH 186; and MATH 18 or 31AH.
ECON 172B, Operations Research B (4),ECON 172A or MATH 171A. 
ECON 173A, Financial Markets (4),ECON 100A and ECON 120B or MATH 181B; and MATH 18 or 31AH.
ECON 173B, Corporate Finance (4),ECON 4 or MGT 4; and ECON 173A.
ECON 174, Financial Risk Management (4),ECON 173A.
ECON 176, Marketing (4),ECON 120C. 
ECON 178, Economic and Business Forecasting (4),ECON 120C.
ECON 181, Topics in Economics (4),ECON 1 and ECON 3.
ECON 182, Topics in Microeconomics (4),ECON 100C. 
ECON 183, Topics in Macroeconomics (4),ECON 110B.
ECON 191A, Senior Essay Seminar A (4),department stamp required.
ECON 191B, Senior Essay Seminar B (4),department stamp required.
ECON 195, Introduction to Teaching Economics (4),consent of the department. 
ECON 198, Directed Group Study (2 or 4),upper-division standing and consent of instructor. May be repeated up to three times when course topics vary. (P/NP grades only.) 
ECON 199, Independent Study (2 or 4),consent of instructor and departmental approval. 
