Code,Name (Units),Prerequisites
ECE 175A, Elements of Machine Intelligence: Pattern Recognition and Machine Learning (4),ECE 175A. 
ECE 175B, Elements of Machine Intelligence: Probabilistic Reasoning and Graphical Models (4),consent of instructor; department stamp. 
ECE 180, Topics in Electrical and Computer Engineering (4),ECE 103 and 107 with grades of C– or better. 
ECE 181, Physical Optics and Fourier Optics (4),ECE 103 and 107 with grades of C– or better. 
ECE 182," Electromagnetic Optics, Guided-Wave, and Fiber Optics (4)",ECE 103 and 107 with grades of C– or better. 
ECE 183, Optical Electronics (4),ECE 182 with a grade of C– or better. 
ECE 184, Optical Information Processing and Holography (4),ECE 183 with a grade of C– or better. 
ECE 185, Lasers and Modulators (4),"MATH 20A-B-F, 20C or 21C, 20D or 21D, PHYS 2A–D, ECE 101 (may be taken concurrently) with grades of C– or better. "
ECE 187, Introduction to Biomedical Imaging and Sensing (4),upper-division standing. 
ECE 188, Topics in Electrical and Computer Engineering with Laboratory (4),upper-division standing. 
ECE 189, Technical Public Speaking (2),students enrolling in this course must have completed all of the breadth courses and one depth course. The department stamp is required to enroll in ECE 190. (Specifications and enrollment forms are available in the undergraduate office.)
ECE 190, Engineering Design (4),completion of all of the breadth courses and one depth course. 
ECE 191, Engineering Group Design Project (4),admission to the ECE departmental honors program. 
ECE 193H, Honors Project (4–8),none.
ECE 194, Viacar Design Project (4) ,consent of the department chair. 
ECE 195, Teaching (2 or 4),BENG 1 or CENG 4 or CSE 11 or CSE 8B or ECE 5 or MAE 3 or NANO 4 or SE 1.
ECE 196, Engineering Hands-on Group Project (4),minimum UC San Diego 2.5 GPA. Consent of instructor and department stamp. 
ECE 197," ECE Internship (2, 4, 6, 8, 10, or 12)",consent of instructor. 
ECE 198, Directed Group Study (2 or 4),consent of instructor. 
ECE 199, Independent Study for Undergraduates (2 or 4),graduate standing. 
